COMUNA;COMUNA CODE (PRE 1999);COMUNA CODE (2000-2008);COMUNA CODE (2008-2010);COMUNA CODE (2010-);REGION CODE (2000-2008);REGION CODE (2008-);HEALTH SERVICE (PRE 2007);HEALTH SERVICE (2008-);PROVINCE CODE (2000-2008);PROVINCE CODE (2008-2010);PROVINCE CODE (2010-);PROVINCE NAME (2000-2008);PROVINCE NAME (2008-2010);PROVINCE NAME (2010-);NAME REGION (2000-2008);NAME REGION (2008-);NAME HEALTH SERVICE (PRE 2007);NAME HEALTH SERVICE (2008-);
Llanquihue;542;10107;10107;10107;10;10;24;24;101;101;101;Llanquihue;Llanquihue;Llanquihue;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Maullín;539;10108;10108;10108;10;10;24;24;101;101;101;Llanquihue;Llanquihue;Llanquihue;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Puerto Varas;536;10109;10109;10109;10;10;24;24;101;101;101;Llanquihue;Llanquihue;Llanquihue;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Castro;545;10201;10201;10201;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Ancud;546;10202;10202;10202;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Chonchi;552;10203;10203;10203;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Curaco de Vélez;549;10204;10204;10204;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Dalcahue;548;10205;10205;10205;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Puqueldón;551;10206;10206;10206;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Queilén;553;10207;10207;10207;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Quellón;554;10208;10208;10208;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Quemchi;547;10209;10209;10209;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Quinchao;550;10210;10210;10210;10;10;24;33;102;102;102;Chiloe;Chiloe;Chiloe;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Chiloé
Osorno;525;10301;10301;10301;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
Puerto Octay;528;10302;10302;10302;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
Purranque;529;10303;10303;10303;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
Puyehue;527;10304;10304;10304;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
Río Negro;530;10305;10305;10305;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
San Juan de la Costa;531;10306;10306;10306;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
San Pablo;526;10307;10307;10307;10;10;23;23;103;103;103;Osorno  ;Osorno  ;Osorno  ;De Los Lagos;De Los Lagos;Osorno;Osorno;
Chaitén;560;10401;10401;10401;10;10;24;24;104;104;104;Palena;Palena;Palena;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Futaleufú;562;10402;10402;10402;10;10;24;24;104;104;104;Palena;Palena;Palena;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Hualaihué;561;10403;10403;10403;10;10;24;24;104;104;104;Palena;Palena;Palena;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Palena;563;10404;10404;10404;10;10;24;24;104;104;104;Palena;Palena;Palena;De Los Lagos;De Los Lagos; Llanquihue; Chiloé y Palena;Del Reloncaví
Coihaique;565;11101;11101;11101;11;11;25;25;111;111;111;Coihaique  ;Coihaique  ;Coihaique  ;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Lago Verde;566;11102;11102;11102;11;11;25;25;111;111;111;Coihaique  ;Coihaique  ;Coihaique  ;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Aisén;570;11201;11201;11201;11;11;25;25;112;112;112;Aisén  ;Aisén  ;Aisén  ;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Cisnes;571;11202;11202;11202;11;11;25;25;112;112;112;Aisén  ;Aisén  ;Aisén  ;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Guaitecas;572;11203;11203;11203;11;11;25;25;112;112;112;Aisén  ;Aisén  ;Aisén  ;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Cochrane;580;11301;11301;11301;11;11;25;25;113;113;113;Capitan Prat;Capitan Prat;Capitan Prat;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
O'Higgins;581;11302;11302;11302;11;11;25;25;113;113;113;Capitan Prat;Capitan Prat;Capitan Prat;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Tortel;582;11303;11303;11303;11;11;25;25;113;113;113;Capitan Prat;Capitan Prat;Capitan Prat;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Chile Chico;575;11401;11401;11401;11;11;25;25;114;114;114;General Carrera;General Carrera;General Carrera;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Río Ibáñez;576;11402;11402;11402;11;11;25;25;114;114;114;General Carrera;General Carrera;General Carrera;De Aisén del Gral. C. Ibáñez del Campo;De Aisén del Gral. C. Ibáñez del Campo;Aisén;Aisén;
Punta Arenas;590;12101;12101;12101;12;12;26;26;121;121;121;Magallanes;Magallanes;Magallanes;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Laguna Blanca;592;12102;12102;12102;12;12;26;26;121;121;121;Magallanes;Magallanes;Magallanes;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Río Verde;591;12103;12103;12103;12;12;26;26;121;121;121;Magallanes;Magallanes;Magallanes;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
San Gregorio;593;12104;12104;12104;12;12;26;26;121;121;121;Magallanes;Magallanes;Magallanes;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Cabo de Hornos;600;12201;12201;12201;12;12;26;26;122;122;122;Antártica Chilena;Antártica Chilena;Antártica Chilena;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Antártica;601;12202;12202;12202;12;12;26;26;122;122;122;Antártica Chilena;Antártica Chilena;Antártica Chilena;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Porvenir;595;12301;12301;12301;12;12;26;26;123;123;123;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Primavera;596;12302;12302;12302;12;12;26;26;123;123;123;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Timaukel;597;12303;12303;12303;12;12;26;26;123;123;123;Tierra del Fuego;Tierra del Fuego;Tierra del Fuego;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Natales;585;12401;12401;12401;12;12;26;26;124;124;124;Ultima Esperanza;Ultima Esperanza;Ultima Esperanza;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Torres del Paine;586;12402;12402;12402;12;12;26;26;124;124;124;Ultima Esperanza;Ultima Esperanza;Ultima Esperanza;De Magallanes y de La Antártica Chilena;De Magallanes y de La Antártica Chilena;Magallanes;Magallanes;
Santiago;605;13101;13101;13101;13;13;11;11;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Central;Metropolitano Central;
Cerrillos;629;13102;13102;13102;13;13;11;11;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Central;Metropolitano Central;
Cerro Navia;634;13103;13103;13103;13;13;10;10;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Conchalí;607;13104;13104;13104;13;13;9;9;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
El Bosque;625;13105;13105;13105;13;13;13;13;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Estación Central;628;13106;13106;13106;13;13;11;11;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Central;Metropolitano Central;
Huechuraba;608;13107;13107;13107;13;13;9;9;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
Independencia;606;13108;13108;13108;13;13;9;9;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
La Cisterna;624;13109;13109;13109;13;13;13;13;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
La Florida;618;13110;13110;13110;13;13;14;14;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
La Granja;620;13111;13111;13111;13;13;14;14;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
La Pintana;621;13112;13112;13112;13;13;14;14;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
La Reina;615;13113;13113;13113;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Las Condes;613;13114;13114;13114;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Lo Barnechea;612;13115;13115;13115;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Lo Espejo;627;13116;13116;13116;13;13;13;13;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Lo Prado;632;13117;13117;13117;13;13;10;10;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Macul;616;13118;13118;13118;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Maipú;630;13119;13119;13119;13;13;11;11;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Central;Metropolitano Central;
Ñuñoa;614;13120;13120;13120;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Pedro Aguirre Cerda;626;13121;13121;13121;13;13;13;13;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Peñalolén;617;13122;13122;13122;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Providencia;610;13123;13123;13123;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Pudahuel;633;13124;13124;13124;13;13;10;10;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Quilicura;636;13125;13125;13125;13;13;9;9;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
Quinta Normal;631;13126;13126;13126;13;13;10;10;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Recoleta;609;13127;13127;13127;13;13;9;9;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
Renca;635;13128;13128;13128;13;13;10;10;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
San Joaquín;619;13129;13129;13129;13;13;13;13;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
San Miguel;623;13130;13130;13130;13;13;13;13;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
San Ramón;622;13131;13131;13131;13;13;14;14;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
Vitacura;611;13132;13132;13132;13;13;12;12;131;131;131;Santiago  ;Santiago  ;Santiago  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Oriente;Metropolitano Oriente;
Puente Alto;645;13201;13201;13201;13;13;14;14;132;132;132;Cordillera;Cordillera;Cordillera;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
Pirque;647;13202;13202;13202;13;13;14;14;132;132;132;Cordillera;Cordillera;Cordillera;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
San José de Maipo;646;13203;13203;13203;13;13;14;14;132;132;132;Cordillera;Cordillera;Cordillera;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Suroriente;Metropolitano Suroriente;
Colina;640;13301;13301;13301;13;13;9;9;133;133;133;Chacabuco;Chacabuco;Chacabuco;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
Lampa;641;13302;13302;13302;13;13;9;9;133;133;133;Chacabuco;Chacabuco;Chacabuco;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
Tiltil;642;13303;13303;13303;13;13;9;9;133;133;133;Chacabuco;Chacabuco;Chacabuco;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Norte;Metropolitano Norte;
San Bernardo;650;13401;13401;13401;13;13;13;13;134;134;134;Maipo;Maipo;Maipo;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Buin;651;13402;13402;13402;13;13;13;13;134;134;134;Maipo;Maipo;Maipo;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Calera de Tango;653;13403;13403;13403;13;13;13;13;134;134;134;Maipo;Maipo;Maipo;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Paine;652;13404;13404;13404;13;13;13;13;134;134;134;Maipo;Maipo;Maipo;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Sur;Metropolitano Sur;
Melipilla;660;13501;13501;13501;13;13;10;10;135;135;135;Melipilla;Melipilla;Melipilla;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Alhué;663;13502;13502;13502;13;13;10;10;135;135;135;Melipilla;Melipilla;Melipilla;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Curacaví;662;13503;13503;13503;13;13;10;10;135;135;135;Melipilla;Melipilla;Melipilla;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
María Pinto;661;13504;13504;13504;13;13;10;10;135;135;135;Melipilla;Melipilla;Melipilla;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
San Pedro;664;13505;13505;13505;13;13;10;10;135;135;135;Melipilla;Melipilla;Melipilla;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Talagante;670;13601;13601;13601;13;13;10;10;136;136;136;Talagante  ;Talagante  ;Talagante  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
El Monte;673;13602;13602;13602;13;13;10;10;136;136;136;Talagante  ;Talagante  ;Talagante  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Isla de Maipo;672;13603;13603;13603;13;13;10;10;136;136;136;Talagante  ;Talagante  ;Talagante  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Padre Hurtado;674;13604;13604;13604;13;13;10;10;136;136;136;Talagante  ;Talagante  ;Talagante  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
Peñaflor;671;13605;13605;13605;13;13;10;10;136;136;136;Talagante  ;Talagante  ;Talagante  ;Metropolitana de Santiago;Metropolitana de Santiago;Metropolitano Occidente;Metropolitano Occidente;
